user_id,education_type,program_title,institution_name,education_status,start_date,end_date,field_of_study
user_id,education_type,program_title,institution_name,education_status,start_date,end_date,field_of_study
82f0b7d3298b4b148a7c9854ab584019,DIPLOMA,Diplomatura en Compliance, Ética Corporativa y Dirección de Procesos de Integridad.,Universidad de Mendoza,COMPLETED,2021-03-18,,
f8b2732d18c74332bbecf9352408fa39,TECHNICAL_DEGREE,Prof de Lengua y Literatura,Instituto Normal Superior Tomas Godoy Cruz,COMPLETED,2006-03-01,,
de4a840c03c3459bac23f9581ba38141,UNIVERSITY_DEGREE,Abogada,Facultad de Derecho, Universidad Nacional de Cuyo,COMPLETED,2016-03-01,,
1142e4983f1c435c82698512b0083fd7,DIPLOMA,Diplomado en Coaching Jurídico y Derecho Sistémico,Universidad del Este,COMPLETED,2024-02-01,,
3074dabb9b7e44c6b33e465fce651eb8,UNIVERSITY_DEGREE,Abogada,Universidad Empresarial S. XXI,COMPLETED,2007-01-01,,
dae35e5aca2e449b903ab49b2f2d0d6a,UNIVERSITY_DEGREE,ESCRIBANA,UNIVERSIDAD MENDOZA,COMPLETED,1997-03-01,,
e49ab40cc59b46d59250cf1d7f09f3bb,TECHNICAL_DEGREE,ABOGADA,UNIVERSIDAD NACIONAL DE CUYO,COMPLETED,2011-03-01,,
e4b0fb2220634e3db700e9b86afeaaff,DIPLOMA,Diplomatura en niñez y adolescencia ,Centros de estudios avanzados en derecho,COMPLETED,2020-04-01,,
6b742e179c954d378ce96d9d9cd2f63d,UNIVERSITY_DEGREE,CICLO DE PROFESORADO PARA PROFESIONALES,universidad nacional de cuyo,IN_PROGRESS,2025-03-02,,
ac74225f0dfb4137bc03f9e66101a34f,TRAINING_COURSE,“XVII Encuentro Académico de Derecho”,COLEGIO PUBLICO DE ABOGADOS Y PROCURADORES DE LA SEGUNDA CIRCUNSCRIPCION DE MENDOZA,COMPLETED,2024-10-17,,
1142e4983f1c435c82698512b0083fd7,TRAINING_COURSE,Mujeres y derechos humanos,Dirección Nacional de Cultura Cívica en Derechos Humanos,COMPLETED,2017-04-10,,
6baafe1c592542b3834b997509390e04,TRAINING_COURSE,“Taller de litigación oral”,Colegio Público de Abogados y Procuradores. Segunda Circunscripción Judicial de Mendoza,COMPLETED,2018-06-13,,
1142e4983f1c435c82698512b0083fd7,DIPLOMA,Diplomado en Derecho Ejecución Penal y Aspectos Penitenciarios,Universidad de Mendoza,COMPLETED,2021-05-05,,
dae35e5aca2e449b903ab49b2f2d0d6a,UNIVERSITY_DEGREE,SOCIOLOGIA Y CIENCIAS CRIMINOLOGICAS Y DE LA SEGURIDAD,UNIVERSIDAD DE BOLONIA,COMPLETED,2004-06-28,,
18c5bcc02bf54ae096bb0a41cc5fabaa,TECHNICAL_DEGREE,abogada ,Universidad Siglo XXI,COMPLETED,2023-02-01,,
6baafe1c592542b3834b997509390e04,TRAINING_COURSE,“Ley de Bases: reformas y repercusiones en el Derecho Laboral”,Universidad de Mendoza - Sede San Rafael,COMPLETED,2024-08-16,,
86d203291d2b451dac9911d4ece33ccd,DIPLOMA,Compliance, Ética Corporativa y Dirección de Procesos de Integridad,Universidad de Mendoza,IN_PROGRESS,2022-05-05,,
28c0de61864d4eaeae5e501b18394fec,TRAINING_COURSE,- Inglés Nivel A1,,Instituto de Educación Superior Docente y Técnica No 9-001 “Gral. José de San Martín”,COMPLETED,0022-03-05,,
444192e349bb4a67bdd65121fc877d35,UNIVERSITY_DEGREE,ABOGADA,UNIVERSIDAD NACIONAL DE CUYO,COMPLETED,2015-03-01,,
12f91429319541f6b39ee66cc3ce5ddf,DIPLOMA,GESTION DE CONTRATACIONES PUBLICAS Y GESTION DE BIENES,Universidad Nacional de Cuyo,COMPLETED,2021-08-26,,
b43f51e83fe44ffa845fbd82b6a4a9aa,MASTER_DEGREE,Maestría en Derecho de las Familias,Universidad Nacional de Cuyo,IN_PROGRESS,2025-04-01,,
ac74225f0dfb4137bc03f9e66101a34f,TRAINING_COURSE,“Negociación”,SANTANDER OPEN ACADEMY,COMPLETED,2024-12-03,,
82f0b7d3298b4b148a7c9854ab584019,TRAINING_COURSE,TALLER PARA INCORPORAR LA PERSPECTIVA DE GÉNERO EN LA JUSTICIA,Aula virtual SCJM y Dirección de la Mujer, Género y Diversidad.,COMPLETED,2020-05-03,,
e53cd4842fad4611afe4c56ea7b57465,UNIVERSITY_DEGREE,Abogado,Universidad Nacional de Cuyo,COMPLETED,2007-03-01,,
44992ceffc0e4ee48f8b7c9aa99f37df,TRAINING_COURSE,Jornada: Migración, derechos humanos y defensa pública,Ministerio Público de la Defensa de la Nación,COMPLETED,2020-09-24,,
44992ceffc0e4ee48f8b7c9aa99f37df,TRAINING_COURSE,Estudio y Análisis del Código Civil y Comercial de la Nación,Gobierno de Mendoza, Poder Judicial de Mendoza, y Colegio de Abogados y Procuradores de Mendoza,COMPLETED,2015-03-15,,
444192e349bb4a67bdd65121fc877d35,TRAINING_COURSE,Seminario de Alimentos y Responsabilidad Parental,Universidad Nacional de Cuyo,COMPLETED,2023-05-01,,
2d01e3c2b579401b95dc81b21df0e218,DIPLOMA,Diplomatura de posgrado en mediación y gestión participativa de conflictos,Universidad Nacional de Cuyo,COMPLETED,2023-03-01,2023-12-01,
1fc4e45ff42143d5a8b886e1ef606819,DIPLOMA,Diplomatura en Migrantes y Protección de Refugiados,Universidad de Buenos Aires,COMPLETED,2020-08-01,,
ac74225f0dfb4137bc03f9e66101a34f,TRAINING_COURSE,III Plenario anual de la comisión nacional de jóvenes abogados de la F.A.C.A.,COMISION DE JOVENES ABOGADOS DE LA SEGUNDA CIRCUNSCRIPCION DE MENDOZA,COMPLETED,2017-07-01,,
558a2a4d37f84de9a1a35dc54cb6c026,TECHNICAL_DEGREE,abogado,Universidad Siglo 21,COMPLETED,2010-07-23,,
284d395e2ea24172b858213d8996b4f8,UNIVERSITY_DEGREE,Abogado,Universidad Champagnat,COMPLETED,,,
82f0b7d3298b4b148a7c9854ab584019,TRAINING_COURSE,LEY MICAELA 27499. PERSPECTIVA DE GENERO Y VIOLENCIA CONTRA LAS MUJERES.,IPAP. GOBIERNO DE MENDOZA,COMPLETED,2021-10-01,,
12f91429319541f6b39ee66cc3ce5ddf,TRAINING_COURSE,Uniones Convivenciales,Universidad Nacional de Cuyo,IN_PROGRESS,2023-04-20,,
f2ccf03e73c341e29ddc5569d751209b,TRAINING_COURSE,Seminario "Nuevas Tecnologías y su impacto en la vida individual y social",Facultad de Derecho de la Universidad Nacional de Cuyo,COMPLETED,2021-03-10,,
82f0b7d3298b4b148a7c9854ab584019,TRAINING_COURSE,LAS SENTENCIAS PENALES DE LA SUPREMA CORTE DE JUSTICIA FRENTE A LOS DESAFIOS CONTEMPORANEOS,Centro de Capacitación Manuel A. Saez,COMPLETED,2022-05-02,,
1142e4983f1c435c82698512b0083fd7,TRAINING_COURSE,Introducción a los Derechos Humanos,Dirección Nacional de Cultura Cívica en Derechos Humanos,COMPLETED,2016-10-17,,
dae35e5aca2e449b903ab49b2f2d0d6a,TRAINING_COURSE,ABOGADA DE NIÑOS/AS Y ADOLESCENTES,UNIVERSIDAD DEL ACONCAGUA,COMPLETED,2022-10-01,,
4731897f467d4e4a9c60102b31c8bc96,UNIVERSITY_DEGREE,ABOGADO ,U.N.L LITORAL,COMPLETED,2000-03-01,,
e7d1e923b82d4c7b82ba32fd70bcb1f1,UNIVERSITY_DEGREE,Abogacía,Universidad de Mendoza,COMPLETED,2017-03-01,,
f8b2732d18c74332bbecf9352408fa39,UNIVERSITY_DEGREE,ABOGADA,UNIVERSIDAD SIGLO 21,COMPLETED,2015-03-01,,
6baafe1c592542b3834b997509390e04,TRAINING_COURSE,“Jornada y taller sobre la conciliación Laboral obligatoria”,Colegio Público de Abogados y Procuradores. Segunda Circunscripción Judicial de Mendoza,COMPLETED,2017-09-07,,
ac74225f0dfb4137bc03f9e66101a34f,TRAINING_COURSE,“XI Encuentro académico cuyano de Derecho en homenaje al Dr. Luis Moisset De Espanes”,COLEGIO PUBLICO DE ABOGADOS Y PROCURADORES DE LA SEGUNDA CIRCUNSCRIPCION DE MENDOZA,COMPLETED,2017-08-27,,
ac74225f0dfb4137bc03f9e66101a34f,TRAINING_COURSE,“Ley de Bases: reformas y repercusiones en el Derecho Laboral”,UNIVERSIDAD DE MENDOZA - SEDE SAN RAFAEL,COMPLETED,2024-08-16,,
753a09bdf4c34225b3cb734e9d103790,SECONDARY_EDUCATION,Polimodal en Comunicación, Arte y Diseño,Colegio Universitario Central ,COMPLETED,1998-03-03,,
ac0257a016db442eaa52247132447635,TRAINING_COURSE,Derechos de niños, niñas y adolescentes,UBA,COMPLETED,2025-04-15,,
d5a00a3824e44768b4a586956b3c7d91,DIPLOMA,INVESTIGACION DE HOMICIDIOS,UA,COMPLETED,2007-03-06,,
e4b0fb2220634e3db700e9b86afeaaff,TRAINING_COURSE,Capacitación en perspectiva de proteccion en derechos de niños niñas y adolescentes. Ley Lucio.,IPAP ,COMPLETED,2024-06-01,,
e4b0fb2220634e3db700e9b86afeaaff,TRAINING_COURSE,Seminario de posgrado " Sistemas de protección" ,Universidad Nacional de Cuyo . Facultad de derecho. ,COMPLETED,2023-05-01,,
82f0b7d3298b4b148a7c9854ab584019,UNIVERSITY_DEGREE,Abogada,Universidad Empresarial Siglo XXI,COMPLETED,2012-03-10,,
83ff06bc89714984bc6335dd49db3815,SECONDARY_EDUCATION,Educacion Polimodal, Modalidad: Economía y Gestión de las organizaciones, Orientación en "Comercio Exterior",Colegio 29 PS Del Carmen ,COMPLETED,2002-03-01,,
28c0de61864d4eaeae5e501b18394fec,TRAINING_COURSE,Del aula al ejercicio profesionaldel servicio publico de justicia ,Poder Judicial de Mendoza ,COMPLETED,2020-10-10,,
6baafe1c592542b3834b997509390e04,TRAINING_COURSE,"Google: Inteligencia Artificial y productividad",Santander Open Academy,COMPLETED,2024-12-03,,
ac74225f0dfb4137bc03f9e66101a34f,TRAINING_COURSE,“Aspectos prácticos del intercambio telegráfico en el derecho del trabajo”,COLEGIO PUBLICO DE ABOGADOS Y PROCURADORES DE LA SEGUNDA CIRCUNSCRIPCION DE MENDOZA,COMPLETED,2017-12-15,,
c963e31702564417a0f1f32d90497b0f,UNIVERSITY_DEGREE,ABOGADA,UNIVERSIDAD CHAMPAGNAT,COMPLETED,2016-03-10,,
ac74225f0dfb4137bc03f9e66101a34f,TRAINING_COURSE,“Google: Inteligencia Artificial y productividad”,SANTANDER OPEN ACADEMY,COMPLETED,2024-12-03,,
6b742e179c954d378ce96d9d9cd2f63d,TECHNICAL_DEGREE,MEDIADORA,UNIVERSIDAD ACONCAGUA,COMPLETED,2018-03-01,,
1142e4983f1c435c82698512b0083fd7,TRAINING_COURSE,Violencia Institucional, Discursos Sociales y Derechos Humanos,Dirección Nacional de Cultura Cívica en Derechos Humanos,COMPLETED,2017-04-03,,
ac74225f0dfb4137bc03f9e66101a34f,TRAINING_COURSE,“La perspectiva de genero en el ejercicio de la profesión”,COLEGIO PUBLICO DE ABOGADOS Y PROCURADORES DE LA SEGUNDA CIRCUNSCRIPCION DE MENDOZA,COMPLETED,2018-07-04,,
e4b0fb2220634e3db700e9b86afeaaff,TRAINING_COURSE,Perspectiva de Género y Violencia contra las mujeres . Ley Micaela. ,IPAP ,COMPLETED,2024-04-01,,
6baafe1c592542b3834b997509390e04,TRAINING_COURSE,“XI Encuentro académico cuyano de Derecho en homenaje al Dr. Luis Moisset De Espanes”,Colegio Público de Abogados y Procuradores. Segunda Circunscripción Judicial de Mendoza,COMPLETED,2017-08-25,,
b3e189e45cd4461fa8f4abfd2132e0a8,UNIVERSITY_DEGREE,ESCRIBANA PUBLICA,UE SIGLO XXI,IN_PROGRESS,2024-10-16,,
67204d67de624862af4d459ec17d62ed,UNIVERSITY_DEGREE,ABOGADA,Universidad de Mendoza,COMPLETED,2010-03-10,,
7c4972621bb14d23b1af2c1fe71fe75c,DIPLOMA,Diplomatura en litigación penal. Técnicas para jueces, fiscales y defensores. Segunda Cohorte,Universidad del Aconcagua,COMPLETED,2023-08-04,,
d5a00a3824e44768b4a586956b3c7d91,POSTGRADUATE_DEGREE,MEDIADORA,UA,COMPLETED,2004-03-15,,
357524f1d2a54683bfdfe91274e46fce,UNIVERSITY_DEGREE,Abogacía,Universidad de Mendoza,COMPLETED,2003-01-12,,
7136b41f3e9b422e97d1ba0a31ba8bc6,POSTGRADUATE_DEGREE,Asesoramiento juridico del Estado,Escuela del Cuerpo de Abogados del Estado,IN_PROGRESS,2024-02-04,,
a27fd51db07b4823affb0d019b1b6e22,UNIVERSITY_DEGREE,abogado,UNIVERSIDAD NACIONAL DE CUYO,COMPLETED,2001-04-01,,
3e79c90373bd4303b5f22de3331c4122,DIPLOMA,Diplomatura en Acceso a la Justicia y Derechos Humano,Universidad de Lomas de Zamora y Universidad de la Pampa,COMPLETED,2023-05-01,,
444192e349bb4a67bdd65121fc877d35,TRAINING_COURSE,Prescipciones adquisitivas y derechos posesorios,Colegio de Abogados de Mendoza,COMPLETED,2023-09-19,,
060af200bf3e4e3d8ca8e11d1654ac69,UNIVERSITY_DEGREE,PROCURADOR,UNIVERSIDAD SIGLO 21,COMPLETED,2020-03-23,,
1142e4983f1c435c82698512b0083fd7,UNIVERSITY_DEGREE,Abogado,Universidad de Mendoza,COMPLETED,2010-03-01,,
fff39a93cf3844d1b710f0e0756ed488,POSTGRADUATE_DEGREE,Especialización en Ciencias Penales,Universidad de Mendoza,IN_PROGRESS,2021-08-01,,
e4b0fb2220634e3db700e9b86afeaaff,UNIVERSITY_DEGREE,ABOGACIA,UNIVERSIDAD DE CONGRESO,COMPLETED,2014-02-17,,
de4a840c03c3459bac23f9581ba38141,TRAINING_COURSE,Derechos Humanos en el Terreno: Europa 2023 Derechos Humanos, Relaciones Internacionales y Liderazgo Público Democrático,Berg Institute Derechos Humanos,COMPLETED,2023-06-26,,
28c0de61864d4eaeae5e501b18394fec,TRAINING_COURSE,“Debates y desafíos de la Ley 27742 - Ley Bases y Modernización  laboral”,Facultad de Derecho de la Universidad  Nacional de Cuyo,COMPLETED,2024-08-20,,
67204d67de624862af4d459ec17d62ed,UNIVERSITY_DEGREE,ESCRIBANA,Universidad de Mendoza,COMPLETED,2010-03-10,,
ac74225f0dfb4137bc03f9e66101a34f,TRAINING_COURSE,“Pre Congreso Preparatorio del IX Congreso Latinoamericano de Niñez, Adolescencia y Familia de ALAMFPyONAF”,A.L.A.M.F.P. y O.N.A.F.,COMPLETED,2017-09-01,,
7136b41f3e9b422e97d1ba0a31ba8bc6,MASTER_DEGREE,Maestrando en Derecho Administrativo,Universidad Austral,IN_PROGRESS,2018-07-01,,
44992ceffc0e4ee48f8b7c9aa99f37df,TRAINING_COURSE,Actualización del derecho previsional y de la seguridad social,Ministerio Público de la Defensa de la Nación,COMPLETED,2020-10-25,,
28c0de61864d4eaeae5e501b18394fec,TRAINING_COURSE,Negociación,Esade,COMPLETED,2024-02-15,,
753a09bdf4c34225b3cb734e9d103790,UNIVERSITY_DEGREE,Abogado,Universidad de Mendoza,COMPLETED,2002-03-01,,
83ff06bc89714984bc6335dd49db3815,UNIVERSITY_DEGREE,Abogacia,Universidad Champagnat,COMPLETED,2005-03-21,,
e4b0fb2220634e3db700e9b86afeaaff,TRAINING_COURSE,Seminario “Transdiciplina en el Derecho Familiar” ,Universidad Nacional de Cuyo . Facultad de derecho. ,COMPLETED,2024-05-29,,
52f3053d5004414f8a230ba8d1f1c9bd,DIPLOMA,Derechos Humanos y Acceso a la Justicia,Universidad Nacional de Lomas de Zamorra,COMPLETED,2023-05-02,,
bd071b9c798643fe9dfda6447974c87d,TECHNICAL_DEGREE,Bachiller Universitario en Filosofía,UNSTA,COMPLETED,2013-03-01,,
86d203291d2b451dac9911d4ece33ccd,SECONDARY_EDUCATION,POLIMODAL EN ECONOMÍA Y GESTIÓN DE LAS ORGANIZACIONES, ORIENTADO AL COMERCIO EXTERIOR,Instituto San Pedro Nolasco,COMPLETED,2006-03-03,,
385608d296184d609fd4bff24ef7715d,DIPLOMA,DIPLOMATURA DE ACTUALIZACIÓN EN DERECHO DE FAMILIA,UNIVERSIDAD DE CONGRESO,COMPLETED,2022-08-02,,
28c0de61864d4eaeae5e501b18394fec,TRAINING_COURSE,Congreso de Derecho Penal ,Facultad de Derecho de la Universidad  Nacional de Cuyo,COMPLETED,2015-11-01,,
385608d296184d609fd4bff24ef7715d,UNIVERSITY_DEGREE,ABOGADA,UNIVERSIDAD DE MENDOZA,COMPLETED,,,
d1d5de0841b241e68f78e8ce2e4b3d76,POSTGRADUATE_DEGREE,DIPLOMATURA UNIVERSITARIA EN PREVENCIÓN Y ACOMPAÑAMIENTO INTEGRAL EN SITUACIONES DE VIOLENCIA DE GÉNERO Y HACIA LAS NIÑECES ,UNIVERSIDAD NACIONAL DE GENERAL SAN MARTÍN,COMPLETED,2023-03-01,,
